COAL,NATURALGAS,ELECTRICITY,PETRO_INDUSTRIAL,PETRO_RESIDENTIAL_COMMERCIAL,PETRO_TRANSPORTATION_ELECTRICPOWER,CO2
77099.295,1408.8410000000001,266262.327,4889.889,345.67199999999997,315.28700000000003,406.305
75461.363,1514.35,256528.49,4971.1990000000005,365.216,278.993,417.601
73152.261,1748.263,251868.348,4500.635,411.528,282.26,417.717
80043.87400000001,2119.285,269519.769,4721.501,500.151,299.58799999999997,469.964
83049.856,2432.305,279773.101,4371.168,494.18699999999995,276.373,480.756
74907.849,2230.2889999999998,252307.14899999998,4740.976,545.389,482.91,447.55
74826.637,2143.331,261342.562,4293.077,429.26,207.63099999999997,454.171
69517.601,1820.872,244735.923,4354.751,385.76300000000003,219.392,412.66900000000004
73073.84,1616.918,264288.24199999997,4440.58,315.283,282.467,415.652
79796.709,1458.521,286258.135,4800.168,308.32,304.395,422.217
90648.08300000001,1591.74,330416.095,4463.885,273.121,456.884,445.17900000000003
95025.659,1661.055,345780.07899999997,4800.802,281.462,538.814,465.876
79682.071,1461.606,277575.357,5057.721,299.73400000000004,315.64099999999996,419.881
77378.663,1530.3139999999999,263978.44,4715.178,325.889,236.891,421.223
78674.73,1917.0020000000002,261478.39899999998,4580.044,428.75699999999995,257.175,444.592
85522.07800000001,2342.935,285553.882,4537.473,542.263,437.33099999999996,494.54900000000004
88468.20800000001,2602.488,296922.971,4618.015,563.677,490.69300000000004,514.309
80225.103,2354.467,270685.247,4662.419,553.078,552.069,476.49800000000005
80319.241,2234.322,275019.018,4669.3679999999995,460.986,375.13699999999994,477.653
72688.563,1858.4,251612.875,4621.099,376.586,215.547,430.63199999999995
77851.52,1643.912,282266.414,4725.178,305.17,254.958,433.44
84077.94,1534.6870000000001,302716.899,4900.572,299.685,360.218,434.205
91215.951,1538.025,327708.462,4882.573,269.658,474.93,455.17400000000004
92171.521,1569.787,329286.33,5065.141,281.246,395.977,462.23699999999997
82396.05900000001,1475.066,283151.26300000004,4808.6179999999995,311.505,325.975,421.931
82553.787,1585.36,271446.494,5455.562,374.593,226.03900000000002,451.412
84828.23599999999,1929.2920000000001,269122.035,4820.084,470.251,283.557,462.88800000000003
89524.64300000001,2283.2729999999997,284249.613,4585.51,508.152,374.88,497.654
92703.08099999999,2540.341,300573.901,4876.184,563.681,488.897,520.104
78849.55,2273.601,258131.02899999998,4716.903,493.01099999999997,294.215,456.785
80386.51,2156.271,272258.227,4466.734,419.724,249.56799999999998,468.598
76572.695,1842.037,258284.482,4832.446,372.85,261.938,442.952
78225.959,1649.6970000000001,272913.783,4854.766,311.462,295.539,437.469
83746.381,1536.3770000000002,299091.561,5029.509,311.01,450.681,439.37699999999995
95463.93800000001,1670.662,344516.455,5157.092000000001,296.005,577.905,479.657
93212.351,1637.517,332898.63,5004.834,298.107,477.881,466.92
86709.737,1538.67,301056.672,5177.604,314.095,487.81800000000004,440.69199999999995
87018.46,1598.128,284970.62899999996,5345.6269999999995,329.912,440.842,458.64599999999996
84458.56599999999,1930.741,271120.816,4854.977,373.20599999999996,430.594,462.87199999999996
92197.228,2363.301,296356.097,5103.946,453.93199999999996,448.30699999999996,515.254
90586.396,2442.638,295260.404,4699.630999999999,462.884,403.772,508.781
79507.094,2140.021,260589.918,4598.417,454.54699999999997,392.99300000000005,451.782
82485.725,2174.634,286877.989,4759.826,418.81300000000005,524.189,481.77
76736.996,1757.746,261229.604,4783.157,347.158,433.064,445.731
83216.933,1592.53,299639.908,4625.8,342.667,582.929,447.656
89349.469,1587.735,328903.002,4954.038,307.49,772.262,461.334
97810.317,1723.5620000000001,361936.46,5001.2570000000005,280.933,843.893,492.954
97676.41900000001,1736.622,357365.61,5089.287,284.421,813.791,492.44699999999995
88181.89,1595.4379999999999,318924.466,5013.393,273.39799999999997,672.576,454.457
83888.70199999999,1553.721,284445.547,5083.079000000001,337.48699999999997,452.73199999999997,452.079
