"COAL, Thousand Short Tons","NATURALGAS, Billion Cubic Feet","ELECTRICITY, Million Kilowatthours","PETRO_INDUSTRIAL, Thousand Barrels per Day","PETRO_COMMERCIAL, Thousand Barrels per Day","PETRO_RESIDENTIAL, Thousand Barrels per Day","PETRO_TRANSPORTATION, Thousand Barrels per Day","PETRO_ELECTRICPOWER, Thousand Barrels per Day","CO2, Million Metric Tons"
-0.5653549528236046,1.125040274682784,-0.9125491373668353,1.832716128948721,3.1129411360048853,2.5868060829550648,-1.0963569567880584,3.415562606752706,1.2628510990699817
-0.9576640940805305,0.6717709186077034,-1.239304906175639,2.0969698342245215,3.3607780764753277,2.7328837584380636,-0.7327745415785766,3.0294568914611433,0.44939224709317915
-0.934319841734085,0.012284423057023309,-1.2872484558858075,1.807792190195517,1.5108095676879338,1.1218707339885596,-0.7356601382851456,1.3922970022420018,0.0747530654333383
-1.1243848049434706,-0.5736989336706708,-1.4672970365920512,0.43310207034969844,0.5276240212684047,0.3164794769180432,-1.10399057602717,1.2847109491742763,-0.9917643326424914
-0.9831591409665191,-0.9105883199426901,-1.3535039348616777,1.2278459668717316,0.12902088374980913,-0.12363997062681584,-0.973774216143046,1.3323748697762836,-0.8969407472250764
-0.8667023889841595,-1.1555987826859766,-1.2338718331204528,1.255819019781683,-0.1765952561563049,-0.41493678830105735,-0.9892669178310162,1.70865579083209,-1.0895834123270953
-0.6120180608525574,-1.1127219517059015,-1.0167821419155778,0.8346044548525476,-0.3227500916569484,-0.5318901919524436,-1.2167908723947165,1.7980440220301723,-0.9375013587888975
-0.5914722762252999,-1.0882209054315728,-0.9807806842352864,1.631671587933621,-0.08688475227494877,-0.3726616681565263,-0.9390800260613122,1.8371381705943308,-0.6806174855513658
-0.9718814494489273,-1.1147637055620956,-1.3176815687637058,1.0639796344968273,0.015113922137470587,-0.25454160008675214,-1.154113761975938,1.4949520192483157,-1.2459360691786485
-0.8845295073362541,-0.6492438263498509,-1.3319430259539786,1.849267851161973,0.531876604114277,0.24909755031812225,-1.006782694806449,1.1454531890560837,-0.6530306025366526
-0.8683429202757778,-0.21843376269290501,-1.3624389360908005,1.5837465366299948,1.0392477259600004,0.7897171402106905,-1.1595786134849244,1.582256830758124,-0.4862746750544575
-0.5616039354590601,0.402259409590088,-1.2060300113586992,1.7068630856361544,1.6890223354113103,1.3790238002569137,-1.1041872331265807,1.7432268890988434,0.40308352490853633
-0.43021446932431123,0.7406658189772594,-1.0478686283642453,1.5694602377157885,2.853385850000097,1.716596738429875,-1.3014869303836105,1.7138332751468857,0.6401930880173984
-0.6539007711382732,0.5549233871715742,-1.2061527850968472,1.059003411673592,2.3935106968622466,1.4508324656378955,-1.1133813679967932,1.847830711201246,0.12260001440383392
-0.7020418368601042,0.3653955437165047,-1.2231414056134768,0.5930156887264584,1.0652591818286754,0.5471403227341716,-1.253995625784989,1.1583989708367983,-0.08951336343490886
-1.0641564999164141,-0.6949668622054606,-1.4846669930096523,0.11706909643730189,0.07697686738295079,-0.25125329997202167,-1.0536834741431769,0.7338121211239497,-1.1852773102680842
-1.0526020080615919,-1.0578273575282682,-1.3862203711554133,0.03601918838865501,-0.007304470557458137,-0.4507317462023245,-1.2688645643914456,0.6931129524222048,-1.4394490468042411
-0.8624780383830117,-1.2660699168292122,-1.195161421503539,0.0008430315297528014,-0.16289307544820134,-0.5998483943235441,-1.305821696025559,0.9525794723675942,-1.55724483487881
-0.45330458028369003,-1.1834911821154437,-0.813806431394085,-0.6213989445596718,-0.556457482671749,-0.8589890239659664,-1.2913693380916558,1.5119155288573118,-1.1277962040598748
-0.4748722311390704,-1.2100258152305414,-0.8337539660285074,-0.762026487648623,-0.6439045150383663,-0.893255086964104,-1.4287418005397,1.698023309043226,-1.224117536610884
-0.7920717290367189,-1.1754323796450457,-1.1679415397724537,0.8830862264376015,-0.17730226124482443,-0.5956827437490178,-1.305002937735616,0.950206113557692,-1.395751262190325
-0.881262541066488,-0.720162104790895,-1.348593013264275,0.7234445445060019,0.7305081008866942,0.09932230131555443,-1.2185236707241744,0.6337996921119071,-1.0162342824332395
-0.8216268054482389,-0.23362645313684505,-1.3484488043932723,-0.08020901775074617,1.4114331434918894,0.66432423669403,-1.5252057085646202,1.1867488039508929,-0.8258584778577422
-0.4395076096025395,0.5185515839773336,-1.1099733020858205,0.9455181235361542,2.412515415734249,1.4238039558965723,-1.207556298177301,1.4834849269879065,0.3858999125244628
-0.19363458412509732,0.8240980068029176,-0.9576333520682576,0.045898832152168105,2.996311677186008,1.963741423447744,-1.2288024664412798,1.7685447873981934,0.7675623138512923
-0.6506162718505138,0.04087510230530853,-1.3332480275635255,-0.4178877044514711,1.57976366844812,0.9715192092148122,-1.332909411087537,1.0520658689732534,-0.7180611638912194
-0.6311359821240614,0.049915988380536035,-1.249825953629181,-0.7265676881853019,0.10276672464179162,-0.012722173623783953,-1.395115098431389,0.7883890187830723,-0.6181371422891334
-0.946845406489155,-0.7900166294728627,-1.4312571073866693,-1.190307117688203,-0.5399536623964517,-0.6326961132807786,-1.3195771676747867,0.5988330340435037,-1.5346571889181195
-0.9249286680030876,-0.9160806378158521,-1.3572854972606383,-0.7383358984419693,-0.5328414022522382,-0.6979658127683758,-1.3936188425848843,0.5000569882858346,-1.5156722320085072
-0.6535307720342981,-1.15605817730362,-1.009824116255671,-0.719604402203736,-0.601436724310787,-0.8463885778181752,-1.0983977589126506,1.0717485933443804,-1.3973906881068259
-0.2044574074117469,-1.1460719591929749,-0.763578483020373,-1.0937761033521274,-0.7687806078375151,-0.9582072467410514,-1.1993388012402195,1.1214793656848543,-1.0452379532770282
-0.2917396834462788,-1.1483219719425013,-0.9034351423051853,-1.159336340185939,-0.6192226508286984,-0.8594665096049439,-1.3278567085418227,0.6505146824737928,-1.201975166825046
-0.6514398577023882,-1.2457871340217805,-1.232822977857454,-0.5768249211038765,-0.556853194475025,-0.7745234609330779,-1.2876217739296394,0.6490049280475987,-1.5390289913621245
-0.6840114286980482,-0.7275042516577689,-1.3095411895540976,-0.9890099113146075,0.5922991583958324,0.08793791465225248,-1.4131178094642372,0.652411712726734,-1.141599765480298
-0.711193489760569,-0.5230409787446397,-1.3900568130801838,-1.422605078809983,0.864000158682506,0.3829017279479997,-1.4675103933430356,0.4345079658667973,-1.1758455512916666
-0.34290615588432005,0.41131662969616517,-1.1102976638225925,-1.1779693397589956,1.4258370531311357,0.9181043255914797,-1.2127696501845053,0.6320517734072321,-0.015374880321998203
-0.12883633581996012,1.0712911044184759,-0.9166319506590008,-1.0433243984635556,1.3355620004104394,1.0296689627458362,-1.677466498347234,1.1984084986278123,0.42346502982109613
-0.6499860734396343,0.2226504063684096,-1.323673253948911,-1.1872751333862666,0.7270627701195044,0.5295133405740919,-1.4037813059333235,0.7398242159102902,-0.7751172337507058
-0.7379101394816596,-0.07642978199460852,-1.220025072438571,-1.5199561849452394,0.6877342930312481,0.32289377907317224,-1.4083354411847553,0.36286815089983443,-0.7925842037005959
-1.0269408926231105,-0.795547740669292,-1.4307661241481255,-1.19081030717334,0.6812340671427679,0.1837290606983225,-1.1335860845793844,0.14859899802888404,-1.3851455932983878
-0.9355217563297125,-1.50913254639369,-1.366481965217818,-1.5108795031260969,-0.26825266210977844,-0.5599113073077987,-1.3915104568937333,-0.034762644476462906,-1.9205497139060461
-0.8711263014445983,-1.5526035277459174,-1.2412625552146461,-1.4631343152980099,-0.6383909305793877,-0.8248264553920406,-1.2411303737378827,0.04915816328519511,-2.0096454285287684
-0.4122146420075932,-1.4908180143036291,-0.9002839124547074,-1.2554947801798286,-1.0373845037438818,-1.0856865037639825,-1.3741680705439785,0.36442346718799895,-1.6288938193777747
