Year,"COAL, Thousand Short Tons","NATURALGAS, Billion Cubic Feet","ELECTRICITY, Million Kilowatthours","PETRO_INDUSTRIAL, Thousand Barrels per Day","PETRO_RESIDENTIAL_COMMERCIAL, Thousand Barrels per Day","PETRO_TRANSPORTATION_ELECTRICPOWER, Thousand Barrels per Day",CO2_ based on LCA calculation (Million Metric Tons)
199508,95025.659,1661.055,345780.079,4800.802,281.462,538.814,434.0721779
199509,79682.071,1461.606,277575.357,5057.721,299.734,315.641,363.9928472
199510,77378.663,1530.314,263978.44,4715.178,325.889,236.891,357.0413105
199511,78674.73,1917.002,261478.399,4580.044,428.757,257.175,378.4061016
199512,85522.078,2342.935,285553.882,4537.473,542.263,437.331,424.176949
199601,88468.208,2602.488,296922.971,4618.015,563.677,490.693,447.891087
199602,80225.103,2354.467,270685.247,4662.419,553.078,552.069,407.0828084
199603,80319.241,2234.322,275019.018,4669.368,460.986,375.137,402.8095669
199604,72688.563,1858.4,251612.875,4621.099,376.586,215.547,357.886849
199605,77851.52,1643.912,282266.414,4725.178,305.17,254.958,370.3098154
199606,84077.94,1534.687,302716.899,4900.572,299.685,360.218,386.8593517
199607,91215.951,1538.025,327708.462,4882.573,269.658,474.93,412.706192
199608,92171.521,1569.787,329286.33,5065.141,281.246,395.977,417.236146
199609,82396.059,1475.066,283151.263,4808.618,311.505,325.975,372.9039374
199610,82553.787,1585.36,271446.494,5455.562,374.593,226.039,375.0986633
199611,84828.236,1929.292,269122.035,4820.084,470.251,283.557,396.403352
199612,89524.643,2283.273,284249.613,4585.51,508.152,374.88,430.2123287
199701,92703.081,2540.341,300573.901,4876.184,563.681,488.897,456.19683
199702,78849.55,2273.601,258131.029,4716.903,493.011,294.215,395.3656124
199703,80386.51,2156.271,272258.227,4466.734,419.724,249.568,398.0132509
199704,76572.695,1842.037,258284.482,4832.446,372.85,261.938,368.8204958
199705,78225.959,1649.697,272913.783,4854.766,311.462,295.539,368.2965586
199706,83746.381,1536.377,299091.561,5029.509,311.01,450.681,385.0520001
199707,95463.938,1670.662,344516.455,5157.092,296.005,577.905,435.4906788
199708,93212.351,1637.517,332898.63,5004.834,298.107,477.881,424.2705059
199709,86709.737,1538.67,301056.672,5177.604,314.095,487.818,392.8231467
199710,87018.46,1598.128,284970.629,5345.627,329.912,440.842,390.9918078
199711,84458.566,1930.741,271120.816,4854.977,373.206,430.594,396.3254481
199712,92197.228,2363.301,296356.097,5103.946,453.932,448.307,445.0337078
199801,90586.396,2442.638,295260.404,4699.631,462.884,403.772,444.4687674
199802,79507.094,2140.021,260589.918,4598.417,454.547,392.993,391.169777
199803,82485.725,2174.634,286877.989,4759.826,418.813,524.189,409.2846313
199804,76736.996,1757.746,261229.604,4783.157,347.158,433.064,366.2559148
199805,83216.933,1592.53,299639.908,4625.8,342.667,582.929,386.6873909
199806,89349.469,1587.735,328903.002,4954.038,307.49,772.262,411.4930626
199807,97810.317,1723.562,361936.46,5001.257,280.933,843.893,449.8946513
199808,97676.419,1736.622,357365.61,5089.287,284.421,813.791,448.5683913
199809,88181.89,1595.438,318924.466,5013.393,273.398,672.576,405.5103517
199810,83888.702,1553.721,284445.547,5083.079,337.487,452.732,381.2795798
199811,79799.744,1763.28,267136.408,4723.013,356.725,467.307,375.703396
199812,87863.131,2178.028,297986.181,4781.055,438.741,539.267,426.3071
199901,91238.539,2553.096,315813.69,4681.312,527.918,681.704,458.9015546
199902,78967.232,2142.809,274820.273,4560.984,528.959,597.166,395.2979337
199903,82646.818,2208.633,298144.718,4874.893,460.275,578.78,415.5763573
199904,78636.501,1855.922,280719.013,4853.758,340.304,519.268,382.4730471
199905,82204.376,1584.757,300098.19,4588.119,285.818,515,384.1993225
199906,88323.05,1530.294,328923.833,5353.59,271.355,610.386,406.4652927
199907,99880.333,1686.365,376538.308,5183.372,254.341,859.593,458.2014709
199908,96862.518,1724.321,364031.383,5514.134,267.788,711.312,448.6351105
199909,87128.816,1530.672,305515.654,5573.983,273.419,455.918,395.2975653
199910,83773.023,1629.38,283934.839,5344.566,336.493,368.765,384.788914
199911,81134.295,1733.113,271095.672,4834.073,387.722,271.673,378.9017951
199912,87851.042,2225.788,295174.237,5025.449,470.488,245.701,428.0173385
200001,97043.237,2532.443,327993.944,4756.524,565.444,434.978,475.8749202
200002,88029.479,2340.654,294169.282,4855.986,537.527,314.613,433.4510068
200003,86379.33,2085.459,301579.821,4816.542,444.922,256.692,419.4430864
200004,78212.149,1827.336,285577.749,4481.208,373.512,279.527,381.6771046
200005,85275.298,1736.144,322953.681,5123.223,327.467,476.762,407.2567208
200006,92577.183,1615.904,339053.66,5262.84,296.55,620.126,424.3768097
200007,96419.551,1671.158,356527.917,4999.228,283.661,559.862,442.2145133
200008,99791.091,1813.262,368669.365,5299.999,346.469,704.068,461.7142287
200009,89049.419,1563.151,312446.647,5278.84,339.392,621.17,404.0190421
200010,88309.091,1610.054,289451.903,4956.165,384.062,452.855,396.4694986
200011,87678.809,1928.879,284670.275,4431.754,464.99,416.285,408.8737959
200012,95330.237,2608.675,319010.798,4571.302,617.068,910.506,473.0388484
200101,96896.583,2676.998,332493.16,4696.791,622.259,998.732,484.5913897
200102,83772.227,2309.464,282940.198,4585.966,564.392,610.041,417.9218752
200103,86499.188,2246.633,300706.544,4717.282,499.323,622.568,427.5810981
200104,78371.593,1807.17,278078.871,4921.033,397.82,605.492,378.7036943
200105,84604.868,1522.382,300491.621,4867.046,311.741,549.702,387.1910691
200106,90024.609,1444.378,327693.978,4900.166,305.115,657.784,405.7271051
200107,99156.536,1598.071,357613.7,4945.236,311.903,578.981,445.5264827
200108,101105.371,1669.178,370532.828,5200.739,306.341,765.049,458.2464857
200109,86705.072,1494.128,306928.866,5028.858,301.527,396.082,392.8517396
200110,83511.233,1649.073,294733.613,5332.734,360.427,332.643,388.9295776
200111,81013.457,1700.95,278933.942,4979.857,408.962,315.829,379.8881895
200112,88484.795,2120.198,305496.328,4505.865,495.355,332.245,427.4293621
200201,90003.707,2487.638,319941.472,4889.886,523.063,352.109,454.3679358
200202,79568.765,2242.427,281825.708,4721.682,492.026,329.308,404.227925
200203,83394.611,2258.431,302549.007,4799.418,434.463,436.461,421.4262854
200204,78688.328,1880.985,289848.252,4825.801,329.603,424.857,387.194875
200205,83658.24,1611.453,307674.569,4980.965,303.046,429.195,391.9595693
200206,90613.311,1591.373,341023.145,5082.495,272.967,442.09,419.178037
200207,99977.291,1748.435,381542.109,5243.197,273.54,533.814,463.3553919
200208,99012.333,1725.712,374585.823,5252.466,280.375,533.676,457.5574781
200209,91304.887,1542.17,331279.434,5164.899,293.099,440.893,414.8010212
200210,88469.273,1645.873,307059.462,4935.066,361.405,424.597,404.7732526
200211,87015.673,1913.629,296289.561,4914.964,417.994,336.398,410.8671454
200212,94648.155,2378.895,324833.704,4380.117,532.612,425.042,461.8755733
200301,99026.1,2700.545,341988.899,4759.218,670.404,660.32,494.1050251
