MSN,YYYYMM,Value,Column_Order,Description,Total,Unit
"""CLTCPUS""","""198711""",66633.901,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198712""",74461.968,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198801""",78967.267,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198802""",72165.673,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198803""",69653.994,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198804""",64152.338,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198805""",66506.652,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198806""",75076.25,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198807""",81993.87,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198808""",85300.987,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198809""",71377.027,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198810""",70248.363,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198811""",70008.168,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198812""",78191.217,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198901""",77972.523,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198902""",73707.444,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198903""",73129.833,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198904""",66694.322,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198905""",68795.624,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198906""",73767.343,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198907""",80039.787,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198908""",80599.391,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198909""",72790.488,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198910""",71558.601,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198911""",72019.256,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""198912""",83925.271,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199001""",77917.507,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199002""",69138.38,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
"""CLTCPUS""","""199003""",72120.262,"""12""","""Coal Consumption"," Total""","""Thousand Short Tons"""
